model,method,level,episode_id,repetition,exact_acc,experiment_folder,run_folder,filename
GPT_5,FISER,1,task-bring_me-2-1013-1,0,1,FISER_GPT_5,0,task-bring_me-2-1013-1.json
GPT_5,FISER,4,task-bring_me-2-1267-4,0,0,FISER_GPT_5,0,task-bring_me-2-1267-4.json
GPT_5,FISER,2,task-bring_me-2-1276-2,0,0,FISER_GPT_5,0,task-bring_me-2-1276-2.json
GPT_5,FISER,4,task-bring_me-2-1309-4,0,0,FISER_GPT_5,0,task-bring_me-2-1309-4.json
GPT_5,FISER,1,task-bring_me-2-1362-1,0,0,FISER_GPT_5,0,task-bring_me-2-1362-1.json
GPT_5,FISER,2,task-bring_me-2-1632-2,0,1,FISER_GPT_5,0,task-bring_me-2-1632-2.json
GPT_5,FISER,3,task-bring_me-2-184-3,0,0,FISER_GPT_5,0,task-bring_me-2-184-3.json
GPT_5,FISER,1,task-bring_me-2-2020-1,0,1,FISER_GPT_5,0,task-bring_me-2-2020-1.json
GPT_5,FISER,4,task-bring_me-2-2090-4,0,0,FISER_GPT_5,0,task-bring_me-2-2090-4.json
GPT_5,FISER,2,task-bring_me-2-2298-2,0,0,FISER_GPT_5,0,task-bring_me-2-2298-2.json
GPT_5,FISER,1,task-bring_me-2-265-1,0,1,FISER_GPT_5,0,task-bring_me-2-265-1.json
GPT_5,FISER,3,task-bring_me-2-3654-3,0,0,FISER_GPT_5,0,task-bring_me-2-3654-3.json
GPT_5,FISER,4,task-bring_me-2-3965-4,0,1,FISER_GPT_5,0,task-bring_me-2-3965-4.json
GPT_5,FISER,3,task-bring_me-2-4743-3,0,0,FISER_GPT_5,0,task-bring_me-2-4743-3.json
GPT_5,FISER,3,task-bring_me-2-555-3,0,0,FISER_GPT_5,0,task-bring_me-2-555-3.json
GPT_5,FISER,2,task-bring_me-2-556-2,0,1,FISER_GPT_5,0,task-bring_me-2-556-2.json
